Процессы,Сетка,Время (с),Ускорение,Эффективность
1,400,0.009,1.0,1.0
2,400,0.005,1.7999999999999998,0.8999999999999999
3,400,0.005,1.7999999999999998,0.6
4,400,0.004,2.25,0.5625
5,400,0.005,1.7999999999999998,0.36
6,400,0.005,1.7999999999999998,0.3
7,400,0.018,0.5,0.07142857142857142
8,400,0.024,0.37499999999999994,0.04687499999999999
1,500,0.016,1.0,1.0
2,500,0.011,1.4545454545454546,0.7272727272727273
3,500,0.008,2.0,0.6666666666666666
4,500,0.009,1.777777777777778,0.4444444444444445
5,500,0.007,2.2857142857142856,0.45714285714285713
6,500,0.008,2.0,0.3333333333333333
7,500,0.055,0.2909090909090909,0.04155844155844156
8,500,0.007,2.2857142857142856,0.2857142857142857
1,600,0.021,1.0,1.0
2,600,0.012,1.75,0.875
3,600,0.01,2.1,0.7000000000000001
4,600,0.008,2.625,0.65625
5,600,0.007,3.0,0.6
6,600,0.009,2.3333333333333335,0.3888888888888889
7,600,0.019,1.105263157894737,0.15789473684210528
8,600,0.012,1.75,0.21875
1,700,0.029,1.0,1.0
2,700,0.017,1.7058823529411764,0.8529411764705882
3,700,0.017,1.7058823529411764,0.5686274509803921
4,700,0.013,2.230769230769231,0.5576923076923077
5,700,0.014,2.0714285714285716,0.4142857142857143
6,700,0.013,2.230769230769231,0.3717948717948718
7,700,0.012,2.4166666666666665,0.34523809523809523
8,700,0.01,2.9,0.3625
1,800,0.037,1.0,1.0
2,800,0.021,1.7619047619047616,0.8809523809523808
3,800,0.016,2.3125,0.7708333333333334
4,800,0.017,2.176470588235294,0.5441176470588235
5,800,0.015,2.466666666666667,0.49333333333333335
6,800,0.014,2.642857142857143,0.44047619047619047
7,800,0.013,2.8461538461538463,0.4065934065934066
8,800,0.014,2.642857142857143,0.33035714285714285
1,900,0.047,1.0,1.0
2,900,0.026,1.8076923076923077,0.9038461538461539
3,900,0.02,2.35,0.7833333333333333
4,900,0.017,2.764705882352941,0.6911764705882353
5,900,0.02,2.35,0.47000000000000003
6,900,0.017,2.764705882352941,0.46078431372549017
7,900,0.017,2.764705882352941,0.3949579831932773
8,900,0.016,2.9375,0.3671875
1,1000,0.058,1.0,1.0
2,1000,0.032,1.8125,0.90625
3,1000,0.023,2.5217391304347827,0.8405797101449276
4,1000,0.02,2.9,0.725
5,1000,0.022,2.6363636363636367,0.5272727272727273
6,1000,0.021,2.761904761904762,0.4603174603174603
7,1000,0.019,3.0526315789473686,0.4360902255639098
8,1000,0.018,3.2222222222222228,0.40277777777777785
